sid,run_num,stim_file,onset,offset,ratings,ratings_onset,ratings_offset,response_time,jitter_after_video,jitter_after_rating
s04,2,MaxRichter.wav,10.029404916975182,40.16152570900158,1,43.16716945898952,46.170645334001165,0.6446901669842191,3,3
s04,2,CurtisHarding.wav,49.17505587497726,79.18968924999353,2,86.19560220898711,89.19913174997782,0.5811011669866275,7,7
s04,2,KateBush.wav,96.20376787497662,126.42153624998173,3,131.42722704197513,134.43084895898937,0.5672991670144256,5,5
s04,2,Chainsmokers.wav,139.43545458398876,169.4514337919827,2,176.45736079200287,179.46047104199533,1.1002767499885522,7,7
s04,2,Muse.wav,186.46530545898713,216.47774599998957,3,219.4833263339824,222.48670420897542,0.7953010420023929,3,3
s04,2,Donnie&JoeEmerson.wav,225.4912866249797,255.50526795900078,3,260.5108848749951,263.5140508339973,0.5360697910073213,5,5
s04,2,Strokes.wav,268.51882224998553,298.5312090840016,3,301.53687533398625,304.53995137498714,0.7008399170008488,3,3
s04,2,EltonJohn.wav,307.54440608399455,337.5571392089769,3,344.562727291981,347.56592191697564,0.7937110830098391,7,7
s04,2,NeilYoung.wav,354.57063262499287,384.5830805839796,3,387.5889537920011,390.59226687499904,0.797525375004625,3,3
s04,2,Dilla.wav,393.59589724999387,423.60804404199007,1,430.63009454199346,433.63611641697935,1.1254111669841222,7,7
s04,2,TaylorSwift.wav,440.6401720419817,470.66081795899663,3,475.6659459589864,478.66913262498565,0.6208700829884037,5,5
s04,2,Paramore.wav,483.67378320900025,513.685994458996,3,518.6917909999902,521.6953198339907,0.5785634579951875,5,5
